Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico Art. 26 Minerales No Metálicos	Material de construcción Art. 45	Ambiente geológico
Formación 	Chigüinda	CC	"Esta unidad corresponde a una secuencia monótona con bajo grado metamórfico que se extiende por 30 km a lo largo de cordillera Real como una faja. Está conformada por cuarcitas de grano fino a medio, filitas negras, esquistos grafitosos, pizarras y escasas metagrauvacas (Litherland, et al., 1994; INIGEMM a, 2017)."	Cuarcitas, filitas, esquistos, pizarras, metagrauvacas	Arenas silíceas (cuarcitas, metagrauvacas)	"Arenas de origen fluvial o marino (metagrauvacas)
Gravas
Rocas metamórficas (Esquistos, pizarras, cuarcitas, filitas)"	Ambiente asociado a una cuenca de trasarco de un arco Carbonífero (Spikings et al., 2025).
Formación 	Chilla	MCh	Se constituye por andesitas hornbléndicas y escasamente por tobas de cristales hornbléndicas de grano medio a muy grueso (INIGEMM r, 2017).	Andesitas, tobas de cristales		Materiales pétreos	Arco volcánico continental del Mioceno (INIGEMM r, 2017).
Formación 	Chillacocha	MPLCc	Litológicamente corresponde a una secuencia volcanosedimentaria de tobas de cristales, tobas riolíticas, domos riolíticos, brechas andesíticas y tobas líticas (INIGEMM r, 2017). 	Tobas de cristales, tobas riolíticas, riolitas, brechas andesíticas, tobas líticas		Materiales pétreos	Arco volcánico continental del Mio-Plioceno (INIGEMM r, 2017).
Formación 	Chinchín	ECh	"Está conformada por una secuencia de rocas volcánicas de composición básica a intermedia, flujos de lava y rocas piroclásticas; hacia la base se observan material piroclástico de grano muy fino de color marrón claro; seguido por una secuencia cíclica de flujos de lava y brechas volcánicas basálticas de grano muy fino; hacia el tope de la secuencia se evidencia material piroclástico retrabajado y conglomerados con clastos volcánicos pertenecientes a canales fluviales y, cubiertos por flujos de lavas andesíticas verdes (Steinmann, 1997; IIGE, 2019d)."	Brechas volcánicas, tobas, conglomerados, basaltos, andesitas.		Materiales pétreos	"Arco volcánico continental del Eoceno (Steinmann, 1997; IIGE, 2019d)."
Eclogita 	La Chilca	K1Ch	Está conformada por esquistos pelíticos, esquistos azules y eclogitas. Los esquistos contienen cuarzo, moscovita, paragonita y granate. Los esquistos azules tienen tamaño de grano medio y presenta foliación variable, contiene glaucofana. Las eclogitas tienen tonalidades oscuras, el tamaño de grano varía de fino a medio presenta foliación variable (Aspden, et al., 1995). 	esquistos, eclogitas		Uso ornamental y material pétreo.	Producto de metamorfismo de alta presión y baja temperatura considerado el núcleo del Complejo Ofiolítico Raspas, parte de una placa subducida de metamorfismo de alta presión (Aspden, et al., 1995). 
Formación 	Ciano	KCn	"Está conformada por una secuencia sedimentaria finamente laminada, intercalada con volcánicos. Litológicamente describe intercalaciones de areniscas, limolitas y lutitas. Está interdigitada con las rocas volcánicas de Celica, se interpreta un contacto transicional con la Formación Chaquino y concordante con la Formación Tronco Quemado (IIGE a, 2019; INIGEMM b, 2017)."	Areniscas, limolitas y lutitas. 		Material Pétreo	"Es considerada como una facie turbidítica cuya diferencia con el resto de la cuenca radica en el alto contenido volcánico, definiéndola como una facie proximal al arco Celica. (IIGE a, 2019; INIGEMM b, 2017). "
Formación 	Cisarán	MCn	Contiene sedimentos volcanoclásticos gruesos y lavas intermedias estratificadas subhorizontalmente. La parte inferior comprende lavas andesíticas y dacíticas (anteriormente asignadas a la Formación Alausí), que pasan hacia arriba a una secuencia gruesa de brechas andesíticas mal clasificadas, con intercalaciones de areniscas volcánicas, tobas y lavas. Los sedimentos están cubiertos por lavas andesíticas y dacíticas que culminan en la cima del cerro Cizarán y las montañas circundantes (Dunkley y Gaibor, 1997).	Andesitas, dacitas, brechas, areniscas volcánicas, tobas		Material pétreo	Arco volcánico continental del Mioceno (Dunkley y Gaibor, 1997).
Formación 	Congüime	PL?Cg	"Está conformada por dacitas, riolitas porfíricas, tobas andesíticas y riolíticas, tobas de lapilli, intercaladas con arenas, grauvacas, areniscas verdes y areniscas feldespáticas; se reportan brechas freatomagmáticas con mineralización tipo stockwork y pórfidos andesíticos a riolíticos alojados en zonas de debilidad que contienen sulfuros y presentan alteración hidrotermal (argílica-silicificación) (INIGEMM c, 2013; INIGEMM i, 2017). "	Dacitas, riolitas, tobas andesíticas, tobas riolíticas, areniscas, grauvacas, tobas de lapilli.	"Feldespatos (areniscas feldespáticas)
Puzolanas (tobas)"	"Arcillas superficiales (por meteorización)
Rocas ígneas (riolitas, dacitas, andesitas, tobas)
Gravas
"	"Ambiente volcánico a subvolcánico efusivo, con secuencias sedimentarias de depósitos fluviatiles y lacustres. (INIGEMM c, 2013; INIGEMM i, 2017)."
Formación 	Corral Viejo	O?Cv	"Está conformado por una secuencia de rocas volcánicas de composición andesítica con tonalidades gris azuladas a verdosas y localmente brechas andesíticas; relacionadas al intenso volcanismo oligocénico del arco volcánico Saraguro (INIGEMM, 2017a). "				
Formación 	Culanga	PLCu	"Está constituida por brechas piroclásticas de composición andesítica, de color gris claro a crema; además de tobas con clastos volcánicos (INIGEMM d, 2017). "				Corresponde a los últimos eventos volcánicos del Plioceno que cubren y rellenan las cuencas intramontañosas.  (INIGEMM d, 2017).
Formación 	Dos Bocas	OMDb	Está conformado por lutitas y lodolitas de color chocolate localmente cortadas por diques sedimentarios de areniscas finas y algunas vetillas de yeso. Presenta concreciones calcáreas y acumulaciones locales de óxidos de hierro y azufre sedimentario (Bristow y Hoffstetter, 1977).				La Formación Dos Bocas corresponde a una secuencia detrítica fina depositada en la parte más subsidente de la cuenca Progreso. (Deniaud, 1998).
Formación 	El Fundo	PLF	"Está constituido por secuencias de conglomerados y tobas retrabajadas, además de depósitos fluviolacustres bien estratificados, avalanchas y flujos de lodo con clastos andesíticos, conglomerados mal clasificados; litológicamente está conformado por conglomerados mal clasificados, areniscas, lutitas y limolitas poco consolidadas, con estratificación subhorizontal a horizontal en capas decimétricas de tonalidades crema, púrpura y gris (INIGEMM a, 2013; INIGEMM d, 2017)."				"Se interpreta como una secuencia remanente de una microcuenca (INIGEMM a, 2013; INIGEMM d, 2017)."
Formación 	El Tigre	D1-2?T	Esta unidad está conformada por una secuencia no o débilmente metamorfizada, pobremente sorteada e inmadura de arcosas de grano fino a medio, grauvacas feldespáticas y cuarcitas intercaladas con lutitas, pizarras y limolitas (Litherland, et al., 1994).				Se interpreta como el equivalente no metamórfico de la unidad La Victoria. (Litherland, et al., 1994). 
Formación 	Gonzanamá	MGz	"Está conformado por capas de areniscas calcáreas, limolitas arenosas y en menor cantidad conglomerados con clastos volcánicos (Hungerbühler D., 1997; Hungerbühler D.et al., 2002). "				"Se sugiere que esta formación se depositó en un entorno marino marginal con influencia lacustres y salobres (Hungerbühler D., 1997; Hungerbühler D.et al., 2002)."
Esquisto 	El Guayabo	J3K1Gy	Está conformada por esquistos verdes intercalados con esquistos pelíticos grafitosos de grano fino a medio (INIGEMM r, 2017). 				
Formación 	El Ingenio	EM?Ei	"Está conformada por volcanosedimentos estratificados y no estratificados, compuestos por tobas, líticas, brechas volcánicas heterolíticas de color marrón verdoso con líticos volcánicos y metamórficos y localmente areniscas (INIGEMM e, 2017; IIGE c, 2019)."				
Formación 	El Pan	J3K1Ep	Litológicamente comprende esquistos verdes con cuarzo-calcita-clorita, esquistos grafíticos, filitas con cantidades menores de cuarcitas y esquistos de cuarzo-albita-epidota-clorita, esquistos de actinolita-clorita y mármol negro. Se reporta la presencia de granate (almandino) en esta unidad. Se piensa que el protolito para estas rocas son tobas calcáreas, arcillas y margas, no hay evidencia que indique que los esquistos verdes sean lavas fuertemente milonitizadas (Litherland, Aspden, y Jemielita, 1994).				"Se interpreta a esta unidad como una secuencia marina de trasarco del Arco insular Alao (Litherland, Aspden, y Jemielita, 1994; Spikingset al., 2014). "
