Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico	Ambiente geológico		
Formación 	Burrohuaycu	MBh	"Consiste de conglomerados, areniscas y algunas rocas volcanoclásticas. Comprende tres miembros informales: 
Miembro Volcanoclástico.- Areniscas volcanoclásticas bien estratificadas con cantidades subordinadas de tobas.
Miembro Arenisca.- Las rocas volcanoclásticas y conglomerados gradan hacia la parte superior a una asociación de areniscas de grano medio a grueso, con estratificación cruzada, ripples y estratificación horizontal, además de limolitas rojas con estratificación horizontal. Los canales de areniscas exceden volumetricamente a las limolitas y contienen capas finas de conglomerados.
Miembro Conglomerado.- Comprenden conglomerados de grano grueso, clasto-soportado y pobremente sorteados. Los clastos son bien redondeados y consisten de piroclastos de composición intermedia a ácida, provenientes del arco volcánico Saraguro (Hungerbühler, 1997).
"			Sistema continental fluvial de baja energía de ríos trenzados con aportes locales de abanicos aluviales en los bordes de la cuenca (Hungerbühler, 1997).		
Peridotita 	Campo Real 	J3K1Cr	Comprende litodemas generalmente concordantes entre sí, que incluyen harzburgitas y gabros serpentinizados dentro de una matriz de metapelitas de bajo grado metamórfico como filitas esquistosas, filitas sericíticas, esquistos cuarzo feldespáticos y cuarcitas (INIGEMM r, 2017).			Se presenta como una inclusión tectónica en lentes discontinuos con rumbo E–O, fuertemente tectonizados y fragmentados. Potencia desconocida (INIGEMM r, 2017)		
Formación 	Cañaveral	K2Cv	"Litológicamente describe potentes capas de areniscas líticas en secuencia grano decreciente con niveles de microconglomerados cuarzosos de grano grueso y, en la parte superior afloran potentes estratos de conglomerados de grano muy grueso con clastos de rocas metamórficas tipo guijarro en mayor proporción y volcánicos en ciertos casos, además se observan pequeños niveles de limos y lodolitas de color negro a gris intercaladas con estratos delgados de areniscas finas (IIGE a, 2019; INIGEMM b, 2017)."	Areniscas líticas, conglomerados, limos, lodolitas.	Areniscas líticas para uso en material de construcción.	La intercalación de capas de conglomerados y areniscas gradadas son indicativos de facies turbidíticas Ta (Jaillard et al., 1999).		
Formación 	Capilla	PcCp	Está conformada principalmente por andesitas y andesitas basálticas de color verde oscuro, además de brechas volcánicas con líticos andesíticos y flujos aglomeráticos (INIGEMM d, 2017).			Esta secuencia volcánica se forma en el arco volcánico continental Sacapalca (INIGEMM d, 2017).		
Formación 	Casanga	K2Ca	"Consiste en capas decimétricas bien estratificadas y plegadas de conglomerados, microconglomerados de color café verdoso, areniscas de grano fino a medio y en menor proporción limolitas pardas, en capas de diferente consolidación, comúnmente estas rocas se encuentran cizalladas y con material calcáreo rellenando las fracturas. (Jaillard, et al., 1999; INIGEMM a, 2013)."	Conglomerados, areniscas, limolitas	Conglomerados, microconglomerados y areniscas para uso en material petreo de construcción.	"Ambiente de turbiditas en un abanico submarino (Jaillard, et al., 1999; INIGEMM a, 2013)."		
Formación 	Catacocha	ECt	Conformada por aglomerados, brechas y tobas masivas de color gris, púrpura y marrón amarillento, de composición intermedia a ácida cortada por diques ácidos. Dentro de la secuencia se encuentran intercalaciones de conglomerados mal clasificados, flujos laharíticos distales y areniscas tobáceas (INIGEMM a, 2013).	Aglomerados, brechas, tobas, conglomerados, areniscas tobáceas	Se reporta la presencia de mineralización aurífera en la antigua concesión Blanquillo (INIGEMM, 2013b)	Secuencia de rocas volcánicas típicas de arco volcánico continental 		
Formación 	Catamayo	MCa	"Está conformada hacia la base de la secuencia por lutitas con algunas intercalaciones de areniscas de grano grueso con aporte volcánico, calizas y abundantes vetillas de yeso, en parte media de la secuencia se reportan areniscas de grano grueso y conglomerados, hacia el tope de la secuencia existe un predominio de lutitas con pocos intervalos de areniscas y en menor cantidad vetillas de yeso y calizas (Hungerbühler D., 1997; Hungerbühler et al., 2002)."			"Interpretaciones de facies sugieren que la secuencia se depositó en ambientes de llanura costera con intervalos fluviales y marinos. Esta interpretación apoya la correlación con la Formación Gonzanamá y las demás formaciones de cuencas sedimentarias miocénicas (Hungerbühler D., 1997; Hungerbühler et al., 2002; INIGEMM d, 2017)."		
Formación 	Cazaderos	K2Cz	"Comprende secuencias de limolitas negras en estratos muy delgados y lutitas, por lo general con vetillas de calcita, en intercalación con pequeños niveles de areniscas calcáreas, además de capas y concreciones alargadas de caliza color gris con presencia de fósiles (Jaillard et al 1999, INIGEMM b, 2017; IIGE b, 2019)."	Limolitas, lutitas, areniscas calcáreas.	Materiales pétreos	"Es interpretada como depósitos distales de pendientes consistentes con un deposición en un entorno marino profundo (Jaillard et al., 1999; Shanmungam, 2012)."		
Formación 	Celica	K1C	Corresponde a una secuencia de rocas volcanoclásticas (hialoclastitas o brechas volcánicas), intercaladas con mantos de lava de composición basáltico-andesítica, las mismas que generalmente se encuentran silicificadas, cloritizadas y epidotizadas en menor grado y tobas consolidadas de composición intermedia (INIGEMM a, 2013).			Estas rocas representarían la parte más proximal del arco volcánico submarino definido como Punta de Piedra (INIGEMM a, 2013).		
Formación 	Cerro Caucay	OCc	Consiste principalmente de una gruesa capa subhorizontal de tobas riolíticas intensamente soldadas y con diaclasas columnares, exhiben texturas vitroclásticas y contienen abundante feldespato, biotita, anfíbol y cuarzo (Dunkley y Gaibor, 1997).	Tobas riolíticas, riolitas	Materiales pétreos	Las evidencias indican que las tobas de la Formación Cerro Caucay fueron erupcionados rápidamente desde una cámara magmática diferenciada y zonada. La afinidad geoquímica de las rocas de la Formación Cerro Caucay son calco-alcalinas, típicas de un arco y principalmente de composición riolítica (Dunkley & Gaibor, 1997).		
Formación	Cerro Mandango	MPLCm	"Está conformado por una secuencia de areniscas de grano grueso a medio y conglomerados con clastos metamórficos (Cuarcitas y filitas) intercalados con estratos métricos de tobas de lapilli de color café grisáceo (Hungerbühler D., 1997; Hungerbühler D.et al., 2002)."			" La Formación Cerro Mandango inicia su depósito en un ambiente fluvial y culmina en un sistema de abanico aluvial. El material que conforma esta formación proviene de cordillera Real (Hungerbühler D., 1997; Hungerbühler D.et al., 2002)."		
Formación 	Chaguarpamba	KCh	"Se trata de una secuencia de rocas verdes de grano fino a medio, generalmente estratificadas, incluye tobas arenosas, aglomerados finos y lentes subordinados de lutitas y limolitas de color gris y negro, constituidas por materiales de origen volcanosedimentario. Las lutitas y limolitas ocurren en capas métricas a decamétricas concordantes a las facies gruesas, constituyendo las facies marinas más profundas de la cuenca (INIGEMM b, 2013; INIGEMM a, 2013)."			"Las litologías de la unidad Chaguarpamba constituyen las fases distales de la unidad Bramaderos (INIGEMM b, 2013; INIGEMM a, 2013)."		
Formación 	Chalcana	OMCh	Está conformada por arciillolitas rojas más o menos arenosas y arcillolitas abigarradas características de paleosuelos, con intercalaciones arenosas de tipo canal fluvial (Tschopp, 1953 en DGGM, 1980d).	Arcillolitas	Materiales pétreos	Es interpretada como sistemas fluviales meándricos distales con aporte sedimentario reducido (Gutierrez et al., 2019).		
Formación 	Chambira	MPLCh	"Constituida principalmente por conglomerados con clastos de cuarzo lechoso con matriz arcillo - arenosa cuarzosa; pasando progresivamente a depósitos más finos (areniscas y limolitas). (Baby et al., 2004). La formación está dividida en tres miembros (inferior, medio y superior). El miembro inferior comprende 400 m de areniscas de grano medio a grueso, a veces con niveles de conglomerados con guijarros de arcillas, estas areniscas se encuentran intercaladas de arcillas laminadas con fósiles de plantas. El miembro medio comprende 400 m de conglomerados en alternancia con niveles de arcillas tobáceas y de areniscas finas con huellas de hojas. El miembro superior está constituido por conglomerados con troncos silicificados (Baby et al., 1998). "	Conglomerados, areniscas, limolitas, arcillas tobáceas.	Materiales pétreos	Por sus características sedimentológicas se interpreta como depósito de un río potente (entrelazado) con episodios de flujos de lodo, también se observan flujos gravitacionales, lo que se puede encontrar en ríos de piedemonte, cerca de la zona apical de un abanico aluvial, desarrollado en el Mioceno al Plioceno (Christophoul et al., 2002).		
Formación 	Chanlud	O?Cd	"Está conformada por capas subhorizontales de lavas y brechas andesíticas a dacíticas y en raras ocasiones flujos riolíticos, en menor porcentaje se registran intercalaciones de areniscas volcánicas, conglomerados y tobas; en algunas áreas particularmente hacia la base de la formación se evidencia la predominancia de brechas tanto autoclásticas como epiclásticas; es común la presencia de diques andesíticos (Dunkley y Gaibor, 1997)."	Lavas andesíticas, lavas dacíticas, brechas andesíticas, brechas dacíticas, flujos riolíticos, areniscas, conglomerados, brechas.	Materiales pétreos	Consiste predominantemente de lavas y brechas andesíticas que erupcionaron en un ambiente subaéreo, aunque, localmente aparecen lavas dacíticas y riolíticas . La geoquímica de las rocas analizadas presenta una afinidad calco-alcalina, típico de ambientes de arco (Dunkley & Gaibor, 1997a).		
Formación 	Changaimina 	K2PcCh	"La secuencia comprende principalmente lavas andesíticas a veces en forma de domos de afinidad calcoalcalina, textura porfirítica, de color gris y púrpura; esporádicamente se encuentran brechas de tonalidad verdosa (INIGEMM a, 2013; IIGE c, 2019) "			"La unidad Changaimina representa el carácter efusivo del arco volcánico Sacapalca y marca el inicio del volcanismo en la región (INIGEMM a, 2013; IIGE c, 2019)."		
Formación 	Chapiza	J2K1Ch	Comprende una sucesión de sedimentos clásticos rojos, continentales no metamorfizados y bajo buzamiento, que se depositaron en un ambiente continental de clima seco o desértico, con pequeñas incursiones marinas (transgresiones) de distribución local. Tschop (1953) las divide en tres miembros informales (inferior, medio y superior). El miembro inferior corresponde a una alternancia de lutitas y areniscas de color gris, rosado y violeta, con evaporitas. El miembro medio es una alternancia de lutitas y areniscas de color rojo, pero sin intercalaciones de evaporitas. El miembro superior comprende lutitas, areniscas y conglomerados de color rojo, y también areniscas tobáceas, brechas y basaltos (Baby, Bernal, Christophoul, y Valdez, 1998).	Lutitas, areniscas, evaporitas, conglomerados, areniscas tobáceas, brechas, basaltos	Materiales pétreos	Las asociaciones de facies sugieren un entorno de abanico aluvial con canales trenzados y depósitos menores de flujos de escombros. La abundancia de material volcanoclástico y la mala clasificación de los clastos volcánicos indican una fuente volcánica proximal (Vallejo et al., 2021).		
Formación 	Chaquino	K2Ch	"Contiene una alternancia en capas centimétricas de lutitas, limolitas de color negro a gris oscuro, con nódulos calcáreos alargados. La parte inferior de la formación comprende una alternancia de lutitas y limolitas calcáreas (100 m) y la superior en la que se alternan en proporciones similares lutitas y areniscas finas siliciclásticas (150 m), todas las alternancias contienen esporádicamente capas métricas de grauvaca por una contaminación volcánica distal y capas muy delgadas de margas fosilíferas (IIGE a, 2019; INIGEMM b, 2017)."			"Se desarrolló en un ambiente turbidítico de mar profundo, por la presencia de trazas fósiles de Thalassinoides. Las lutitas negras en varios sitios contienen el único fósil reconocible: Inoceramus, de entre 5 y 30 cm, con 26 anillos. Las lutitas forman terrenos de bajo relieve y menor resistencia a la erosión que las grauvacas de la Formación Tronco Quemado (IIGE a, 2019; INIGEMM b, 2017)."		
Formación 	Chigüinda	CC	"Esta unidad corresponde a una secuencia monótona con bajo grado metamórfico que se extiende por 30 km a lo largo de cordillera Real como una faja. Está conformada por cuarcitas de grano fino a medio, filitas negras, esquistos grafitosos, pizarras y escasas metagrauvacas (Litherland, et al., 1994; INIGEMM a, 2017)."	Cuarcitas, filitas, esquistos, pizarras, metagrauvacas	Materiales pétreos	Ambiente asociado a una cuenca de trasarco de un arco Carbonífero (Spikings et al., 2025).		
Formación 	Chilla	MCh	Se constituye por andesitas hornbléndicas y escasamente por tobas de cristales hornbléndicas de grano medio a muy grueso (INIGEMM r, 2017).	Andesitas, tobas de cristales	Materiales pétreos	Arco volcánico continental del Mioceno (INIGEMM r, 2017).		
Formación 	Chillacocha	MPLCc	Litológicamente corresponde a una secuencia volcanosedimentaria de tobas de cristales, tobas riolíticas, domos riolíticos, brechas andesíticas y tobas líticas (INIGEMM r, 2017). 	Tobas de cristales, tobas riolíticas, riolitas, brechas andesíticas, tobas líticas	Materiales pétreos	Arco volcánico continental del Mio-Plioceno (INIGEMM r, 2017).		
Formación 	Chinchín	ECh	"Está conformada por una secuencia de rocas volcánicas de composición básica a intermedia, flujos de lava y rocas piroclásticas; hacia la base se observan material piroclástico de grano muy fino de color marrón claro; seguido por una secuencia cíclica de flujos de lava y brechas volcánicas basálticas de grano muy fino; hacia el tope de la secuencia se evidencia material piroclástico retrabajado y conglomerados con clastos volcánicos pertenecientes a canales fluviales y, cubiertos por flujos de lavas andesíticas verdes (Steinmann, 1997; IIGE, 2019d)."	Brechas volcánicas, tobas, conglomerados, basaltos, andesitas.	Materiales pétreos	"Arco volcánico continental del Eoceno (Steinmann, 1997; IIGE, 2019d)."		
Eclogita 	La Chilca	K1Ch	Está conformada por esquistos pelíticos, esquistos azules y eclogitas. Los esquistos contienen cuarzo, moscovita, paragonita y granate. Los esquistos azules tienen tamaño de grano medio y presenta foliación variable, contiene glaucofana. Las eclogitas tienen tonalidades oscuras, el tamaño de grano varía de fino a medio presenta foliación variable (Aspden, et al., 1995). 	esquistos, eclogitas	Uso ornamental y material pétreo.	Producto de metamorfismo de alta presión y baja temperatura considerado el núcleo del Complejo Ofiolítico Raspas, parte de una placa subducida de metamorfismo de alta presión (Aspden, et al., 1995). 		
Formación 	Ciano	KCn	"Está conformada por una secuencia sedimentaria finamente laminada, intercalada con volcánicos. Litológicamente describe intercalaciones de areniscas, limolitas y lutitas. Está interdigitada con las rocas volcánicas de Celica, se interpreta un contacto transicional con la Formación Chaquino y concordante con la Formación Tronco Quemado (IIGE a, 2019; INIGEMM b, 2017)."			"Es considerada como una facie turbidítica cuya diferencia con el resto de la cuenca radica en el alto contenido volcánico, definiéndola como una facie proximal al arco Celica. (IIGE a, 2019; INIGEMM b, 2017). "		
Formación 	Cisarán	MCn	Contiene sedimentos volcanoclásticos gruesos y lavas intermedias estratificadas subhorizontalmente. La parte inferior comprende lavas andesíticas y dacíticas (anteriormente asignadas a la Formación Alausí), que pasan hacia arriba a una secuencia gruesa de brechas andesíticas mal clasificadas, con intercalaciones de areniscas volcánicas, tobas y lavas. Los sedimentos están cubiertos por lavas andesíticas y dacíticas que culminan en la cima del cerro Cizarán y las montañas circundantes (Dunkley y Gaibor, 1997).	Andesitas, dacitas, brechas, areniscas volcánicas, tobas	Material pétreo	Arco volcánico continental del Mioceno (Dunkley y Gaibor, 1997).		
Formación 	Congüime	PL?Cg	"Está conformada por dacitas, riolitas porfíricas, tobas andesíticas y riolíticas, intercaladas con arenas, grauvacas, areniscas verdes y areniscas feldespáticas; se reportan brechas freatomagmáticas con mineralización tipo stockwork y pórfidos andesíticos a riolíticos alojados en zonas de debilidad que contienen sulfuros y presentan alteración hidrotermal (argílica-silicificación) (INIGEMM c, 2013; INIGEMM i, 2017). "			"Se interpreta que esta unidad se depositó en ambientes fluviales y lacustres. (INIGEMM c, 2013; INIGEMM i, 2017)."		
Formación 	Corral Viejo	O?Cv	"Está conformado por una secuencia de rocas volcánicas de composición andesítica con tonalidades gris azuladas a verdosas y localmente brechas andesíticas; relacionadas al intenso volcanismo oligocénico del arco volcánico Saraguro (INIGEMM, 2017a). "					
Formación 	Culanga	PLCu	"Está constituida por brechas piroclásticas de composición andesítica, de color gris claro a crema; además de tobas con clastos volcánicos (INIGEMM d, 2017). "			Corresponde a los últimos eventos volcánicos del Plioceno que cubren y rellenan las cuencas intramontañosas.  (INIGEMM d, 2017).		
Formación 	Dos Bocas	OMDb	Está conformado por lutitas y lodolitas de color chocolate localmente cortadas por diques sedimentarios de areniscas finas y algunas vetillas de yeso. Presenta concreciones calcáreas y acumulaciones locales de óxidos de hierro y azufre sedimentario (Bristow y Hoffstetter, 1977).			La Formación Dos Bocas corresponde a una secuencia detrítica fina depositada en la parte más subsidente de la cuenca Progreso. (Deniaud, 1998).		
Formación 	El Fundo	PLF	"Está constituido por secuencias de conglomerados y tobas retrabajadas, además de depósitos fluviolacustres bien estratificados, avalanchas y flujos de lodo con clastos andesíticos, conglomerados mal clasificados; litológicamente está conformado por conglomerados mal clasificados, areniscas, lutitas y limolitas poco consolidadas, con estratificación subhorizontal a horizontal en capas decimétricas de tonalidades crema, púrpura y gris (INIGEMM a, 2013; INIGEMM d, 2017)."			"Se interpreta como una secuencia remanente de una microcuenca (INIGEMM a, 2013; INIGEMM d, 2017)."		
Formación 	El Tigre	D1-2?T	Esta unidad está conformada por una secuencia no o débilmente metamorfizada, pobremente sorteada e inmadura de arcosas de grano fino a medio, grauvacas feldespáticas y cuarcitas intercaladas con lutitas, pizarras y limolitas (Litherland, et al., 1994).			Se interpreta como el equivalente no metamórfico de la unidad La Victoria. (Litherland, et al., 1994). 		
Formación 	Gonzanamá	MGz	"Está conformado por capas de areniscas calcáreas, limolitas arenosas y en menor cantidad conglomerados con clastos volcánicos (Hungerbühler D., 1997; Hungerbühler D.et al., 2002). "			"Se sugiere que esta formación se depositó en un entorno marino marginal con influencia lacustres y salobres (Hungerbühler D., 1997; Hungerbühler D.et al., 2002)."		
Esquisto 	El Guayabo	J3K1Gy	Está conformada por esquistos verdes intercalados con esquistos pelíticos grafitosos de grano fino a medio (INIGEMM r, 2017). 					
Formación 	El Ingenio	EM?Ei	"Está conformada por volcanosedimentos estratificados y no estratificados, compuestos por tobas, líticas, brechas volcánicas heterolíticas de color marrón verdoso con líticos volcánicos y metamórficos y localmente areniscas (INIGEMM e, 2017; IIGE c, 2019)."					
Formación 	El Pan	J3K1Ep	Litológicamente comprende esquistos verdes con cuarzo-calcita-clorita, esquistos grafíticos, filitas con cantidades menores de cuarcitas y esquistos de cuarzo-albita-epidota-clorita, esquistos de actinolita-clorita y mármol negro. Se reporta la presencia de granate (almandino) en esta unidad. Se piensa que el protolito para estas rocas son tobas calcáreas, arcillas y margas, no hay evidencia que indique que los esquistos verdes sean lavas fuertemente milonitizadas (Litherland, Aspden, y Jemielita, 1994).			"Se interpreta a esta unidad como una secuencia marina de trasarco del Arco insular Alao (Litherland, Aspden, y Jemielita, 1994; Spikingset al., 2014). "		
Granodiorita 	El Prado	T3P	" Está constituido principalmente por granodioritas de grano medio con biotita ± muscovita, localmente se reporta topacio y xenolitos de origen ígneo; en la quebrada Chaupi se reportan granodioritas con hornblenda y dioritas. Este cuerpo intrusivo se presenta fuertemente erosionado y se encuentra intruida por numerosos diques posiblemente más jóvenes, los cuales no estarían relacionados con el Complejo Granitoide Moromoro (Aspden, et al., 1995)."					
Serpentinita 	El Toro	KT	"Está constituida por harzburgitas masivas, de grano medio que contienen olivino, ortopiroxeno, anfibolita, antigorita, clorita y magnetita; además de harzburgitas serpentinizadas de grano fino, esquistosas  (Aspden,et al., 1995)."					
Formación 	Guerras	K1G	Constituye una sucesión de rocas sedimentarias siliciclásticas, estratificadas, de grano medio a grueso. Incluye conglomerados y areniscas, además de estratos gruesos de aglomerados intercalados con capas de limolitas. Los conglomerados de color gris claro con parches rojizos, contienen clastos de arenisca cuarzosa, limolita gris oscura y granos de cuarzo, soportados en matriz arenosa. Las areniscas son de color blanco, grano medio a grueso, contienen granos de cuarzo y feldespatos, además de pequeños granos de plagioclasa, muscovita detrítica y arcilla. Los aglomerados de color gris verdoso están constituidos mayormente de líticos de origen volcánico de tonalidad verde-púrpura, soportados en matriz arenosa con fenocristales y microlitos de plagioclasa, y granos de cuarzo. Las limolitas son de color rojo púrpura, se presentan en capas decimétricas bien estratificadas (INIGEMMb, 2013)			Corresponde a una secuencia sedimentaria depositada en un ambiente continental relacionado al arco volcánico Celica (INIGEMMb, 2013).		
Formación 	Gulacpamba	MGu	"Está conformado por sedimentos fluvio lacustres - lacustres estratificados que a la base incluyen areniscas calcáreas café grisáceas y hacia el techo intercalaciones de limolitas de color café – amarillento y verdoso, con capas de lutitas gris verdosas con abundantes restos vegetales; conglomerados y finalmente tobas púrpuras (INIGEMM, 2017a). "					
Formación 	Hollín	K1H	"Constituida por areniscas cuarzosas blancas porosa de grano medio a grueso, con estratificaciones cruzadas y ripples. A esta formación se la ha dividido en tres miembros informales.
Relleno de valle aluvial.- Incluye lutitas laminadas verdosas a rojizas, intercaladas con capas de areniscas arcósicas de grano grueso.
Hollín principal.- Incluye areniscas de grano medio a grueso.  
Hollín superior.- Se encuentra marcada por la aparición de capas de carbón, horizontes de paleosuelos magenta, lutitas con abundante materia orgánica que progradan a capas de areniscas de grano fino a medio (Vallejo et al., 2021)"	Arenisca, lutitas.	Materiales pétreos, sílice, interés hidrocarburífero.	Ambiente de estuario dominado por mareas (Vallejo et al., 2021).		
Formación 	Huartiguro	MPLHt	Está constituida por una secuencia volcanosedimentaria que incluye areniscas volcánicas intercaladas localmente con aglomerados, brechas tobáceas, tobas de cristales, lavas andesítico-basálticas y esporádicas ignimbritas (INIGEMM r, 2017).					
